"Município";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"Unidade de cuidados intermed adulto";"Total"
"130395 São Sebastião do Uatumã";-;-;-;-;-;-
"130400 Silves";1;-;-;-;-;1
"130406 Tabatinga";3;-;-;-;2;5
"130410 Tapauá";-;-;-;-;-;-
"130420 Tefé";3;-;-;-;2;5
"130423 Tonantins";-;-;-;-;-;-
"130426 Uarini";1;-;-;-;-;1
"130430 Urucará";1;-;-;-;-;1
"130440 Urucurituba";-;-;-;-;-;-
"130000 Município ignorado - AM";-;-;-;-;-;-
"140005 Alto Alegre";1;-;-;-;-;1
"140002 Amajari";-;-;-;-;-;-
"140010 Boa Vista";18;5;20;-;-;43
"140015 Bonfim";1;-;-;-;-;1
"140017 Cantá";-;-;-;-;-;-
"140020 Caracaraí";-;-;-;-;-;-
"140023 Caroebe";-;-;-;-;-;-
"140028 Iracema";-;-;-;-;-;-
"140030 Mucajaí";1;-;-;-;-;1
"140040 Normandia";1;-;-;-;-;1
"140045 Pacaraima";1;-;-;-;-;1
"140047 Rorainópolis";1;-;-;-;-;1
"140050 São João da Baliza";1;-;-;-;-;1
"140060 São Luiz";1;-;-;-;-;1
"140070 Uiramutã";-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-
"150010 Abaetetuba";4;-;-;-;-;4
"150013 Abel Figueiredo";1;-;-;-;-;1
"150020 Acará";-;-;-;-;-;-
"150030 Afuá";-;-;-;-;-;-
"150034 Água Azul do Norte";-;-;-;-;-;-
"150040 Alenquer";3;-;-;-;3;6
"150050 Almeirim";-;-;-;-;-;-
"150060 Altamira";6;-;10;-;-;16
"150070 Anajás";1;-;-;-;-;1
"150080 Ananindeua";13;-;66;-;-;79
"150085 Anapu";1;-;-;-;-;1
"150090 Augusto Corrêa";-;-;-;-;-;-
"150095 Aurora do Pará";-;-;-;-;-;-
"150100 Aveiro";-;-;-;-;-;-
"150110 Bagre";1;-;-;-;-;1
"150120 Baião";1;-;-;-;-;1
"150125 Bannach";1;-;-;-;-;1
"150130 Barcarena";1;-;10;-;-;11
"150140 Belém";71;101;215;26;8;421
"150145 Belterra";1;-;-;-;-;1
"150150 Benevides";-;-;-;-;-;-
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-
"150160 Bonito";-;-;-;-;-;-
"150170 Bragança";3;-;10;-;-;13
"150172 Brasil Novo";-;-;-;-;-;-
"150175 Brejo Grande do Araguaia";1;-;-;-;-;1
"150178 Breu Branco";1;-;-;-;-;1
"150180 Breves";3;-;7;-;-;10
"150190 Bujaru";-;-;-;-;-;-
"150200 Cachoeira do Arari";-;-;-;-;-;-
"150195 Cachoeira do Piriá";-;-;-;-;-;-
"150210 Cametá";1;-;-;-;-;1
"150215 Canaã dos Carajás";1;-;-;-;-;1
"150220 Capanema";4;-;19;-;-;23
"150230 Capitão Poço";1;-;-;-;-;1
"150240 Castanhal";2;-;20;-;-;22
"150250 Chaves";-;-;-;-;-;-
"150260 Colares";-;-;-;-;-;-
"150270 Conceição do Araguaia";4;-;-;-;-;4
"150275 Concórdia do Pará";-;-;-;-;-;-
"150276 Cumaru do Norte";-;-;-;-;-;-
"150277 Curionópolis";-;-;-;-;-;-
"150280 Curralinho";1;-;-;-;-;1
"150285 Curuá";-;-;-;-;-;-
"150290 Curuçá";1;-;-;-;-;1
"150293 Dom Eliseu";2;-;-;-;-;2
"150295 Eldorado do Carajás";-;-;-;-;-;-
"150300 Faro";-;-;-;-;-;-
"150304 Floresta do Araguaia";-;-;-;-;-;-
"150307 Garrafão do Norte";-;-;-;-;-;-
"150309 Goianésia do Pará";-;-;-;-;-;-
"150310 Gurupá";1;-;-;-;-;1
"150320 Igarapé-Açu";2;-;-;-;-;2
"150330 Igarapé-Miri";-;-;-;-;-;-
"150340 Inhangapi";1;-;-;-;-;1
"150345 Ipixuna do Pará";1;-;-;-;-;1
"150350 Irituia";-;-;-;-;-;-
"150360 Itaituba";7;-;-;-;-;7
"150370 Itupiranga";-;-;-;-;-;-
"150375 Jacareacanga";-;-;-;-;-;-
"150380 Jacundá";4;-;-;-;-;4
"150390 Juruti";-;-;-;-;-;-
"150400 Limoeiro do Ajuru";1;-;-;-;-;1
"150405 Mãe do Rio";-;-;-;-;-;-
"150410 Magalhães Barata";-;-;-;-;-;-
"150420 Marabá";10;-;20;-;-;30
"150430 Maracanã";3;-;-;-;-;3
"150440 Marapanim";1;-;-;-;-;1
"150442 Marituba";5;-;7;-;-;12
"150445 Medicilândia";-;-;-;-;-;-
"150450 Melgaço";1;-;-;-;-;1
"150460 Mocajuba";1;-;-;-;-;1
"150470 Moju";2;-;-;-;-;2
"150475 Mojuí dos Campos";-;-;-;-;-;-
"150480 Monte Alegre";1;-;-;-;-;1
"150490 Muaná";-;-;-;-;-;-
"150495 Nova Esperança do Piriá";-;-;-;-;-;-
"150497 Nova Ipixuna";-;-;-;-;-;-
"150500 Nova Timboteua";-;-;-;-;-;-
"150503 Novo Progresso";1;-;-;-;-;1
"150506 Novo Repartimento";2;-;-;-;-;2
"150510 Óbidos";1;-;-;-;-;1
"150520 Oeiras do Pará";1;-;-;-;-;1
"150530 Oriximiná";-;-;-;-;-;-
"150540 Ourém";-;-;-;-;-;-
"150543 Ourilândia do Norte";1;-;-;-;-;1
"150548 Pacajá";1;-;-;-;-;1
"150549 Palestina do Pará";1;-;-;-;-;1
"150550 Paragominas";5;-;20;-;-;25
"150553 Parauapebas";10;-;10;10;2;32
"150555 Pau D'Arco";-;-;-;-;-;-
"150560 Peixe-Boi";-;-;-;-;-;-
"150563 Piçarra";-;-;-;-;-;-
"150565 Placas";2;-;-;-;-;2
"150570 Ponta de Pedras";-;-;-;-;-;-
"150580 Portel";1;-;-;-;-;1
"150590 Porto de Moz";1;-;-;-;-;1
"150600 Prainha";-;-;-;-;-;-
"150610 Primavera";-;-;-;-;-;-
"150611 Quatipuru";-;-;-;-;-;-
"150613 Redenção";7;11;9;-;3;30
"150616 Rio Maria";1;-;-;-;-;1
"150618 Rondon do Pará";2;-;-;-;-;2
"150619 Rurópolis";2;-;-;-;-;2
"150620 Salinópolis";2;-;-;-;-;2
"150630 Salvaterra";1;-;-;-;-;1
"150635 Santa Bárbara do Pará";-;-;-;-;-;-
"150640 Santa Cruz do Arari";-;-;-;-;-;-
"150650 Santa Izabel do Pará";-;-;-;-;-;-
"150655 Santa Luzia do Pará";-;-;-;-;-;-
"150658 Santa Maria das Barreiras";-;-;-;-;-;-
"150660 Santa Maria do Pará";-;-;-;-;-;-
"150670 Santana do Araguaia";-;-;-;-;-;-
"150680 Santarém";4;-;27;-;10;41
"150690 Santarém Novo";-;-;-;-;-;-
"150700 Santo Antônio do Tauá";1;-;-;-;-;1
"150710 São Caetano de Odivelas";-;-;-;-;-;-
"150715 São Domingos do Araguaia";-;-;-;-;-;-
"150720 São Domingos do Capim";1;-;-;-;-;1
"150730 São Félix do Xingu";2;-;-;-;-;2
"150740 São Francisco do Pará";-;-;-;-;-;-
"150745 São Geraldo do Araguaia";-;-;-;-;-;-
"150746 São João da Ponta";-;-;-;-;-;-
"150747 São João de Pirabas";1;-;-;-;-;1
"150750 São João do Araguaia";1;-;-;-;-;1
"150760 São Miguel do Guamá";2;-;-;-;-;2
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-
"150775 Sapucaia";-;-;-;-;-;-
"150780 Senador José Porfírio";1;-;-;-;-;1
"150790 Soure";1;-;-;-;-;1
"150795 Tailândia";3;-;-;-;6;9
"150796 Terra Alta";-;-;-;-;-;-
"150797 Terra Santa";-;-;-;-;-;-
"150800 Tomé-Açu";1;-;-;-;-;1
"150803 Tracuateua";1;-;-;-;-;1
"150805 Trairão";-;-;-;-;-;-
"150808 Tucumã";-;-;-;-;-;-
"150810 Tucuruí";4;4;7;-;4;19
"150812 Ulianópolis";3;-;-;-;-;3
"150815 Uruará";-;-;-;-;-;-
"150820 Vigia";-;-;-;-;-;-
"150830 Viseu";2;-;-;-;-;2
"150835 Vitória do Xingu";1;-;-;-;-;1
"150840 Xinguara";-;-;-;-;-;-
"150000 Município ignorado - PA";-;-;-;-;-;-
"160010 Amapá";-;-;-;-;-;-
"160020 Calçoene";5;-;-;-;-;5
"160021 Cutias";-;-;-;-;-;-
"160023 Ferreira Gomes";-;-;-;-;-;-
"160025 Itaubal";-;-;-;-;-;-
"160027 Laranjal do Jari";-;-;-;-;-;-
"160030 Macapá";17;20;20;-;4;61
"160040 Mazagão";-;-;-;-;-;-
"160050 Oiapoque";-;-;-;-;-;-
"160015 Pedra Branca do Amapari";-;-;-;-;-;-
"160053 Porto Grande";-;-;-;-;-;-
"160055 Pracuúba";-;-;-;-;-;-
"160060 Santana";-;6;-;-;-;6
"160005 Serra do Navio";-;-;-;-;-;-
"160070 Tartarugalzinho";-;-;-;-;-;-
"160080 Vitória do Jari";-;-;-;-;-;-
"160000 Município ignorado - AP";-;-;-;-;-;-
"170025 Abreulândia";-;-;-;-;-;-
"170030 Aguiarnópolis";-;-;-;-;-;-
"170035 Aliança do Tocantins";-;-;-;-;-;-
"170040 Almas";-;-;-;-;-;-
"170070 Alvorada";-;-;-;-;-;-
"170100 Ananás";-;-;-;-;-;-
"170105 Angico";-;-;-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;-;-;-
"170130 Aragominas";-;-;-;-;-;-
"170190 Araguacema";-;-;-;-;-;-
"170200 Araguaçu";1;-;-;-;-;1
"170210 Araguaína";-;-;29;-;2;31
"170215 Araguanã";-;-;-;-;-;-
"170220 Araguatins";-;-;-;-;-;-
"170230 Arapoema";1;-;-;-;-;1
"170240 Arraias";1;-;-;-;-;1
"170255 Augustinópolis";2;-;-;-;2;4
"170270 Aurora do Tocantins";-;-;-;-;-;-
"170290 Axixá do Tocantins";-;-;-;-;-;-
"170300 Babaçulândia";-;-;-;-;-;-
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-
"170307 Barra do Ouro";-;-;-;-;-;-
"170310 Barrolândia";-;-;-;-;-;-
"170320 Bernardo Sayão";-;-;-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;-;-;-
"170360 Brasilândia do Tocantins";-;-;-;-;-;-
"170370 Brejinho de Nazaré";-;-;-;-;-;-
"170380 Buriti do Tocantins";-;-;-;-;-;-
"170382 Cachoeirinha";-;-;-;-;-;-
"170384 Campos Lindos";-;-;-;-;-;-
"170386 Cariri do Tocantins";-;-;-;-;-;-
"170388 Carmolândia";-;-;-;-;-;-
"170389 Carrasco Bonito";-;-;-;-;-;-
"170390 Caseara";-;-;-;-;-;-
"170410 Centenário";-;-;-;-;-;-
"170510 Chapada da Natividade";-;-;-;-;-;-
"170460 Chapada de Areia";-;-;-;-;-;-
"170550 Colinas do Tocantins";-;-;-;-;-;-
"171670 Colméia";-;-;-;-;-;-
"170555 Combinado";-;-;-;-;-;-
"170560 Conceição do Tocantins";-;-;-;-;-;-
"170600 Couto Magalhães";-;-;-;-;-;-
"170610 Cristalândia";-;-;-;-;-;-
"170625 Crixás do Tocantins";-;-;-;-;-;-
"170650 Darcinópolis";-;-;-;-;-;-
"170700 Dianópolis";-;-;-;-;-;-
"170710 Divinópolis do Tocantins";-;-;-;-;-;-
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-
"170730 Dueré";-;-;-;-;-;-
"170740 Esperantina";-;-;-;-;-;-
"170755 Fátima";-;-;-;-;-;-
"170765 Figueirópolis";-;-;-;-;-;-
"170770 Filadélfia";-;-;-;-;-;-
"170820 Formoso do Araguaia";-;-;-;-;-;-
"170825 Fortaleza do Tabocão";-;-;-;-;-;-
"170830 Goianorte";-;-;-;-;-;-
"170900 Goiatins";-;-;-;-;-;-
"170930 Guaraí";1;-;-;-;-;1
"170950 Gurupi";3;3;18;-;-;24
"170980 Ipueiras";-;-;-;-;-;-
"171050 Itacajá";1;-;-;-;-;1
"171070 Itaguatins";-;-;-;-;-;-
"171090 Itapiratins";-;-;-;-;-;-
"171110 Itaporã do Tocantins";-;-;-;-;-;-
"171150 Jaú do Tocantins";-;-;-;-;-;-
"171180 Juarina";-;-;-;-;-;-
"171190 Lagoa da Confusão";-;-;-;-;-;-
"171195 Lagoa do Tocantins";-;-;-;-;-;-
"171200 Lajeado";-;-;-;-;-;-
"171215 Lavandeira";-;-;-;-;-;-
"171240 Lizarda";-;-;-;-;-;-
"171245 Luzinópolis";-;-;-;-;-;-
"171250 Marianópolis do Tocantins";-;-;-;-;-;-
"171270 Mateiros";-;-;-;-;-;-
"171280 Maurilândia do Tocantins";-;-;-;-;-;-
"171320 Miracema do Tocantins";2;-;-;-;-;2
"171330 Miranorte";-;-;-;-;-;-
"171360 Monte do Carmo";-;-;-;-;-;-
"171370 Monte Santo do Tocantins";-;-;-;-;-;-
"171395 Muricilândia";-;-;-;-;-;-
"171420 Natividade";-;-;-;-;-;-
"171430 Nazaré";-;-;-;-;-;-
"171488 Nova Olinda";-;-;-;-;-;-
"171500 Nova Rosalândia";-;-;-;-;-;-
"171510 Novo Acordo";-;-;-;-;-;-
"171515 Novo Alegre";-;-;-;-;-;-
"171525 Novo Jardim";-;-;-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-;-;-
"172100 Palmas";9;18;36;21;-;84
"171570 Palmeirante";-;-;-;-;-;-
"171380 Palmeiras do Tocantins";-;-;-;-;-;-
"171575 Palmeirópolis";-;-;-;-;-;-
"171610 Paraíso do Tocantins";1;-;-;-;3;4
"171620 Paranã";1;-;-;-;-;1
"171630 Pau D'Arco";-;-;-;-;-;-
"171650 Pedro Afonso";1;-;-;-;-;1
"171660 Peixe";1;-;-;-;-;1
"171665 Pequizeiro";-;-;-;-;-;-
"171700 Pindorama do Tocantins";-;-;-;-;-;-
"171720 Piraquê";-;-;-;-;-;-
"171750 Pium";-;-;-;-;-;-
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-
"171820 Porto Nacional";-;-;-;-;-;-
"171830 Praia Norte";-;-;-;-;-;-
"171840 Presidente Kennedy";-;-;-;-;-;-
"171845 Pugmil";-;-;-;-;-;-
"171850 Recursolândia";-;-;-;-;-;-
"171855 Riachinho";-;-;-;-;-;-
"171865 Rio da Conceição";-;-;-;-;-;-
"171870 Rio dos Bois";-;-;-;-;-;-
"171875 Rio Sono";-;-;-;-;-;-
"171880 Sampaio";-;-;-;-;-;-
"171884 Sandolândia";-;-;-;-;-;-
"171886 Santa Fé do Araguaia";-;-;-;-;-;-
"171888 Santa Maria do Tocantins";-;-;-;-;-;-
"171889 Santa Rita do Tocantins";-;-;-;-;-;-
"171890 Santa Rosa do Tocantins";-;-;-;-;-;-
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-
"172010 São Bento do Tocantins";-;-;-;-;-;-
"172015 São Félix do Tocantins";-;-;-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;-;-;-
"172025 São Salvador do Tocantins";-;-;-;-;-;-
"172030 São Sebastião do Tocantins";-;-;-;-;-;-
"172049 São Valério";-;-;-;-;-;-
"172065 Silvanópolis";-;-;-;-;-;-
"172080 Sítio Novo do Tocantins";-;-;-;-;-;-
"172085 Sucupira";-;-;-;-;-;-
"172090 Taguatinga";1;-;-;-;-;1
"172093 Taipas do Tocantins";-;-;-;-;-;-
"172097 Talismã";-;-;-;-;-;-
"172110 Tocantínia";-;-;-;-;-;-
"172120 Tocantinópolis";-;-;-;-;-;-
"172125 Tupirama";-;-;-;-;-;-
"172130 Tupiratins";-;-;-;-;-;-
"172208 Wanderlândia";-;-;-;-;-;-
"172210 Xambioá";-;-;-;-;-;-
"170000 Município ignorado - TO";-;-;-;-;-;-
"210005 Açailândia";3;-;-;-;-;3
"210010 Afonso Cunha";-;-;-;-;-;-
"210015 Água Doce do Maranhão";-;-;-;-;-;-
"210020 Alcântara";-;-;-;-;-;-
"210030 Aldeias Altas";-;-;-;-;-;-
"210040 Altamira do Maranhão";-;-;-;-;-;-
"210043 Alto Alegre do Maranhão";2;-;-;-;6;8
"210047 Alto Alegre do Pindaré";2;-;-;-;-;2
"210050 Alto Parnaíba";-;-;-;-;-;-
"210055 Amapá do Maranhão";-;-;-;-;-;-
"210060 Amarante do Maranhão";-;-;-;-;-;-
"210070 Anajatuba";-;-;-;-;-;-
"210080 Anapurus";-;-;-;-;-;-
"210083 Apicum-Açu";1;-;-;-;-;1
"210087 Araguanã";-;-;-;-;-;-
"210090 Araioses";2;-;-;-;-;2
"210095 Arame";-;-;-;-;-;-
"210100 Arari";2;-;-;-;-;2
"210110 Axixá";-;-;-;-;-;-
"210120 Bacabal";4;-;10;-;-;14
"210125 Bacabeira";-;-;-;-;-;-
"210130 Bacuri";-;-;-;-;-;-
"210135 Bacurituba";-;-;-;-;-;-
"210140 Balsas";1;-;10;-;-;11
"210150 Barão de Grajaú";-;-;-;-;-;-
"210160 Barra do Corda";5;-;-;-;2;7
"210170 Barreirinhas";2;-;-;-;6;8
"210177 Bela Vista do Maranhão";1;-;-;-;-;1
"210173 Belágua";-;-;-;-;-;-
"210180 Benedito Leite";-;-;-;-;-;-
"210190 Bequimão";-;-;-;-;-;-
"210193 Bernardo do Mearim";-;-;-;-;-;-
"210197 Boa Vista do Gurupi";1;-;-;-;-;1
"210200 Bom Jardim";-;-;-;-;-;-
"210203 Bom Jesus das Selvas";-;-;-;-;-;-
"210207 Bom Lugar";-;-;-;-;-;-
"210210 Brejo";-;-;-;-;-;-
"210215 Brejo de Areia";-;-;-;-;-;-
"210220 Buriti";-;-;-;-;-;-
"210230 Buriti Bravo";-;-;-;-;-;-
"210232 Buriticupu";2;-;-;-;-;2
"210235 Buritirana";-;-;-;-;-;-
"210237 Cachoeira Grande";-;-;-;-;-;-
"210240 Cajapió";-;-;-;-;-;-
"210250 Cajari";-;-;-;-;-;-
"210255 Campestre do Maranhão";-;-;-;-;-;-
"210260 Cândido Mendes";-;-;-;-;-;-
"210270 Cantanhede";-;-;-;-;-;-
"210275 Capinzal do Norte";-;-;-;-;-;-
"210280 Carolina";1;-;-;-;-;1
"210290 Carutapera";1;-;-;-;-;1
"210300 Caxias";7;-;20;-;3;30
"210310 Cedral";-;-;-;-;-;-
"210312 Central do Maranhão";-;-;-;-;-;-
"210315 Centro do Guilherme";-;-;-;-;-;-
"210317 Centro Novo do Maranhão";-;-;-;-;-;-
"210320 Chapadinha";4;-;10;-;-;14
"210325 Cidelândia";-;-;-;-;-;-
"210330 Codó";3;-;-;-;-;3
"210340 Coelho Neto";-;-;-;-;-;-
"210350 Colinas";-;-;-;-;-;-
"210355 Conceição do Lago-Açu";-;-;-;-;-;-
"210360 Coroatá";2;-;10;-;-;12
"210370 Cururupu";-;-;-;-;-;-
"210375 Davinópolis";1;-;-;-;-;1
"210380 Dom Pedro";-;-;-;-;-;-
"210390 Duque Bacelar";-;-;-;-;-;-
"210400 Esperantinópolis";-;-;-;-;-;-
"210405 Estreito";3;-;-;-;-;3
"210407 Feira Nova do Maranhão";-;-;-;-;-;-
"210408 Fernando Falcão";-;-;-;-;-;-
"210409 Formosa da Serra Negra";-;-;-;-;-;-
"210410 Fortaleza dos Nogueiras";1;-;-;-;-;1
"210420 Fortuna";-;-;-;-;-;-
"210430 Godofredo Viana";-;-;-;-;-;-
"210440 Gonçalves Dias";-;-;-;-;-;-
"210450 Governador Archer";-;-;-;-;-;-
"210455 Governador Edison Lobão";-;-;-;-;-;-
"210460 Governador Eugênio Barros";-;-;-;-;-;-
"210462 Governador Luiz Rocha";-;-;-;-;-;-
"210465 Governador Newton Bello";-;-;-;-;-;-
"210467 Governador Nunes Freire";-;-;-;-;-;-
"210470 Graça Aranha";-;-;-;-;-;-
"210480 Grajaú";2;-;-;-;6;8
"210490 Guimarães";-;-;-;-;-;-
"210500 Humberto de Campos";-;-;-;-;-;-
"210510 Icatu";-;-;-;-;-;-
"210515 Igarapé do Meio";-;-;-;-;-;-
"210520 Igarapé Grande";-;-;-;-;-;-
"210530 Imperatriz";12;-;104;-;-;116
"210535 Itaipava do Grajaú";-;-;-;-;-;-
"210540 Itapecuru Mirim";4;-;-;-;-;4
"210542 Itinga do Maranhão";-;-;-;-;-;-
"210545 Jatobá";-;-;-;-;-;-
"210547 Jenipapo dos Vieiras";-;-;-;-;-;-
"210550 João Lisboa";2;-;-;-;-;2
"210560 Joselândia";-;-;-;-;-;-
"210565 Junco do Maranhão";1;-;-;-;-;1
"210570 Lago da Pedra";-;-;-;-;-;-
"210580 Lago do Junco";-;-;-;-;-;-
"210594 Lago dos Rodrigues";-;-;-;-;-;-
"210590 Lago Verde";-;-;-;-;-;-
"210592 Lagoa do Mato";-;-;-;-;-;-
"210596 Lagoa Grande do Maranhão";-;-;-;-;-;-
"210598 Lajeado Novo";-;-;-;-;-;-
"210600 Lima Campos";-;-;-;-;-;-
"210610 Loreto";2;-;-;-;-;2
"210620 Luís Domingues";-;-;-;-;-;-
"210630 Magalhães de Almeida";1;-;-;-;-;1
"210632 Maracaçumé";-;-;-;-;-;-
"210635 Marajá do Sena";-;-;-;-;-;-
"210637 Maranhãozinho";-;-;-;-;-;-
"210640 Mata Roma";-;-;-;-;-;-
"210650 Matinha";-;-;-;-;-;-
"210660 Matões";-;-;-;-;-;-
"210663 Matões do Norte";-;-;-;-;-;-
"210667 Milagres do Maranhão";-;-;-;-;-;-
